site	lat	lon	pop
Detroit_River	42.2342222222222	-83.1335	Detroit River
Detroit_River	42.2949444444444	-83.0956388888889	Detroit River
Van_Buren_Bay	42.4683333333333	-79.3998333333333	Van Buren Bay
Sandusky_River	41.3485833333333	-83.1119722222222	Sandusky River
Maumee_River	41.5536944444444	-83.6605555555556	Maumee River
A-can	41.6969444444444	-83.1319444444444	Ohio Reef
Cone_Reef	41.6666666666667	-83.0569444444444	Ohio Reef
D-can	41.6491666666667	-82.9608333333333	Ohio Reef
Flat_Rock	41.6636111111111	-83.0222222222222	Ohio Reef
K-can	41.6405555555556	-83.0911111111111	Ohio Reef
Locust_Reef	41.6527777777778	-83.0680555555556	Ohio Reef
Niagara_Reef	41.6736111111111	-82.9777777777778	Ohio Reef
Round_Reef	41.6175	-83.0013888888889	Ohio Reef
Turtle_Reef	41.6591666666667	-83.1091666666667	Ohio Reef
